date,crop,mandi,price,rainfall_index,msp_floor
2015-01-09,Coffee,Chikmagalur,13914,0.13,0
2015-01-10,Tomato,Delhi,1942,0.33,0
2015-01-10,Onion,Delhi,1736,0.32,0
2015-01-10,Potato,Delhi,1538,3.55,0
2015-01-10,Brinjal,Delhi,1988,2.36,0
2015-01-10,Cabbage,Delhi,1579,1.91,0
2015-01-10,Wheat,Delhi,2335,5.25,2275
2015-01-10,Rice,Lucknow,2844,5.11,2300
2015-01-10,Maize,Indore,2090,1.09,2090
2015-01-10,Bajra,Jaipur,2500,1.42,2500
2015-01-10,Jowar,Nagpur,3180,3.43,3180
2015-01-10,Tur Dal,Hyderabad,7000,2.5,7000
2015-01-10,Moong Dal,Bhopal,7755,2.24,7755
2015-01-10,Urad Dal,Kanpur,6952,3.14,6950
2015-01-10,Groundnut,Ahmedabad,5914,5.0,5850
2015-01-10,Soybean,Indore,4600,0.31,4600
2015-01-10,Mustard,Jaipur,5861,0.59,5650
2015-01-10,Cotton,Nagpur,7124,5.06,6620
2015-01-10,Sugarcane,Lucknow,3354,5.88,3150
2015-01-10,Tea,Guwahati,18057,4.81,0
2015-01-10,Coffee,Chikmagalur,14117,3.85,0
2015-01-11,Tomato,Delhi,2108,4.67,0
2015-01-11,Onion,Delhi,1727,3.22,0
2015-01-11,Potato,Delhi,1677,3.09,0
2015-01-11,Brinjal,Delhi,2044,2.78,0
2015-01-11,Cabbage,Delhi,1492,2.31,0
2015-01-11,Wheat,Delhi,2378,1.6,2275
2015-01-11,Rice,Lucknow,2817,0.84,2300
2015-01-11,Maize,Indore,2130,2.5,2090
2015-01-11,Bajra,Jaipur,2500,1.4,2500
2015-01-11,Jowar,Nagpur,3180,2.2,3180
2015-01-11,Tur Dal,Hyderabad,7017,1.96,7000
2015-01-11,Moong Dal,Bhopal,7800,4.11,7755
2015-01-11,Urad Dal,Kanpur,6950,1.78,6950
2015-01-11,Groundnut,Ahmedabad,6171,5.5,5850
2015-01-11,Soybean,Indore,4618,2.89,4600
2015-01-11,Mustard,Jaipur,5685,3.21,5650
2015-01-11,Cotton,Nagpur,7033,5.09,6620
2015-01-11,Sugarcane,Lucknow,3282,4.83,3150
2015-01-11,Tea,Guwahati,18116,3.2,0
2015-01-11,Coffee,Chikmagalur,14076,1.73,0
2015-01-12,Tomato,Delhi,1901,4.41,0
2015-01-12,Onion,Delhi,1751,4.17,0
2015-01-12,Potato,Delhi,1666,5.16,0
2015-01-12,Brinjal,Delhi,1830,3.69,0
2015-01-12,Cabbage,Delhi,1477,0.57,0
2015-01-12,Wheat,Delhi,2408,0.51,2275
2015-01-12,Rice,Lucknow,2908,5.62,2300
2015-01-12,Maize,Indore,2090,5.75,2090
2015-01-12,Bajra,Jaipur,2500,4.81,2500
2015-01-12,Jowar,Nagpur,3180,4.7,3180
2015-01-12,Tur Dal,Hyderabad,7170,4.77,7000
2015-01-12,Moong Dal,Bhopal,7974,1.52,7755
2015-01-12,Urad Dal,Kanpur,6950,3.54,6950
2015-01-12,Groundnut,Ahmedabad,5919,3.7,5850
2015-01-12,Soybean,Indore,4600,1.03,4600
2015-01-12,Mustard,Jaipur,5760,3.43,5650
2015-01-12,Cotton,Nagpur,7094,2.8,6620
2015-01-12,Sugarcane,Lucknow,3247,4.58,3150
2015-01-12,Tea,Guwahati,18046,4.8,0
2015-01-12,Coffee,Chikmagalur,14038,3.6,0
2015-01-13,Tomato,Delhi,2147,5.59,0
2015-01-13,Onion,Delhi,1729,0.7,0
2015-01-13,Potato,Delhi,1540,0.53,0
2015-01-13,Brinjal,Delhi,1991,2.51,0
2015-01-13,Cabbage,Delhi,1356,4.65,0
2015-01-13,Wheat,Delhi,2395,2.0,2275
2015-01-13,Rice,Lucknow,2939,5.39,2300
2015-01-13,Maize,Indore,2222,1.62,2090
2015-01-13,Bajra,Jaipur,2500,2.19,2500
2015-01-13,Jowar,Nagpur,3180,0.95,3180
2015-01-13,Tur Dal,Hyderabad,7000,0.89,7000
2015-01-13,Moong Dal,Bhopal,7974,2.63,7755
2015-01-13,Urad Dal,Kanpur,6950,2.3,6950
2015-01-13,Groundnut,Ahmedabad,6112,3.32,5850
2015-01-13,Soybean,Indore,4600,5.62,4600
2015-01-13,Mustard,Jaipur,5828,2.88,5650
2015-01-13,Cotton,Nagpur,7089,2.26,6620
2015-01-13,Sugarcane,Lucknow,3389,4.31,3150
2015-01-13,Tea,Guwahati,18021,5.71,0
2015-01-13,Coffee,Chikmagalur,13929,5.1,0
2015-01-14,Tomato,Delhi,1933,3.82,0
2015-01-14,Onion,Delhi,1733,3.53,0
2015-01-14,Potato,Delhi,1560,4.12,0
2015-01-14,Brinjal,Delhi,1800,2.73,0
2015-01-14,Cabbage,Delhi,1426,4.95,0
2015-01-14,Wheat,Delhi,2285,2.75,2275
2015-01-14,Rice,Lucknow,2700,2.65,2300
2015-01-14,Maize,Indore,2090,5.51,2090
2015-01-14,Bajra,Jaipur,2500,4.69,2500
2015-01-14,Jowar,Nagpur,3180,5.98,3180
2015-01-14,Tur Dal,Hyderabad,7102,5.28,7000
2015-01-14,Moong Dal,Bhopal,7782,5.02,7755
2015-01-14,Urad Dal,Kanpur,6950,0.64,6950
2015-01-14,Groundnut,Ahmedabad,6196,3.99,5850
2015-01-14,Soybean,Indore,4600,3.9,4600
2015-01-14,Mustard,Jaipur,5650,5.38,5650
2015-01-14,Cotton,Nagpur,6970,0.17,6620
2015-01-14,Sugarcane,Lucknow,3169,0.86,3150
2015-01-14,Tea,Guwahati,18139,4.66,0
2015-01-14,Coffee,Chikmagalur,13956,5.46,0
2015-01-15,Tomato,Delhi,2173,3.94,0
2015-01-15,Onion,Delhi,1711,0.03,0
2015-01-15,Potato,Delhi,1646,0.31,0
2015-01-15,Brinjal,Delhi,1982,4.81,0
2015-01-15,Cabbage,Delhi,1387,1.43,0
2015-01-15,Wheat,Delhi,2455,0.34,2275
2015-01-15,Rice,Lucknow,2991,4.81,2300
2015-01-15,Maize,Indore,2279,4.63,2090
2015-01-15,Bajra,Jaipur,2500,4.19,2500
2015-01-15,Jowar,Nagpur,3180,0.24,3180
2015-01-15,Tur Dal,Hyderabad,7000,1.21,7000
2015-01-15,Moong Dal,Bhopal,7755,3.03,7755
2015-01-15,Urad Dal,Kanpur,6950,4.47,6950
2015-01-15,Groundnut,Ahmedabad,6090,5.11,5850
2015-01-15,Soybean,Indore,4644,0.93,4600
2015-01-15,Mustard,Jaipur,5821,1.16,5650
2015-01-15,Cotton,Nagpur,6930,1.62,6620
2015-01-15,Sugarcane,Lucknow,3313,5.88,3150
2015-01-15,Tea,Guwahati,18053,3.67,0
2015-01-15,Coffee,Chikmagalur,13917,3.7,0
2015-01-16,Tomato,Delhi,1969,0.25,0
2015-01-16,Onion,Delhi,1969,4.26,0
2015-01-16,Potato,Delhi,1515,1.04,0
2015-01-16,Brinjal,Delhi,1831,1.1,0
2015-01-16,Cabbage,Delhi,1481,5.88,0
2015-01-16,Wheat,Delhi,2341,4.7,2275
2015-01-16,Rice,Lucknow,2965,3.82,2300
2015-01-16,Maize,Indore,2175,0.87,2090
2015-01-16,Bajra,Jaipur,2500,5.68,2500
2015-01-16,Jowar,Nagpur,3180,3.47,3180
2015-01-16,Tur Dal,Hyderabad,7000,4.2,7000
2015-01-16,Moong Dal,Bhopal,7898,5.64,7755
2015-01-16,Urad Dal,Kanpur,6950,0.89,6950
2015-01-16,Groundnut,Ahmedabad,6056,2.42,5850
2015-01-16,Soybean,Indore,4600,2.85,4600
2015-01-16,Mustard,Jaipur,5650,0.8,5650
2015-01-16,Cotton,Nagpur,6932,1.67,6620
2015-01-16,Sugarcane,Lucknow,3195,2.57,3150
2015-01-16,Tea,Guwahati,18024,3.67,0
2015-01-16,Coffee,Chikmagalur,14094,2.47,0
2015-01-17,Tomato,Delhi,2159,2.45,0
2015-01-17,Onion,Delhi,1772,3.53,0
2015-01-17,Potato,Delhi,1683,1.9,0
2015-01-17,Brinjal,Delhi,1817,2.51,0
2015-01-17,Cabbage,Delhi,1351,2.84,0
2015-01-17,Wheat,Delhi,2275,3.43,2275
2015-01-17,Rice,Lucknow,2883,3.39,2300
2015-01-17,Maize,Indore,2217,3.89,2090
2015-01-17,Bajra,Jaipur,2500,3.91,2500
2015-01-17,Jowar,Nagpur,3180,4.72,3180
2015-01-17,Tur Dal,Hyderabad,7000,3.29,7000
2015-01-17,Moong Dal,Bhopal,7836,3.76,7755
2015-01-17,Urad Dal,Kanpur,6995,2.16,6950
2015-01-17,Groundnut,Ahmedabad,6060,4.42,5850
2015-01-17,Soybean,Indore,4600,5.32,4600
2015-01-17,Mustard,Jaipur,5883,3.02,5650
2015-01-17,Cotton,Nagpur,6987,3.12,6620
2015-01-17,Sugarcane,Lucknow,3346,1.89,3150
2015-01-17,Tea,Guwahati,18022,5.02,0
2015-01-17,Coffee,Chikmagalur,14055,0.7,0
2015-01-18,Tomato,Delhi,2170,0.43,0
2015-01-18,Onion,Delhi,1962,0.33,0
2015-01-18,Potato,Delhi,1579,1.68,0
2015-01-18,Brinjal,Delhi,1910,1.04,0
2015-01-18,Cabbage,Delhi,1329,1.88,0
2015-01-18,Wheat,Delhi,2432,0.09,2275
2015-01-18,Rice,Lucknow,2921,4.96,2300
2015-01-18,Maize,Indore,2266,2.23,2090
2015-01-18,Bajra,Jaipur,2500,0.92,2500
2015-01-18,Jowar,Nagpur,3180,0.72,3180
2015-01-18,Tur Dal,Hyderabad,7060,2.19,7000
2015-01-18,Moong Dal,Bhopal,7997,5.97,7755
2015-01-18,Urad Dal,Kanpur,6950,4.63,6950
2015-01-18,Groundnut,Ahmedabad,6003,4.13,5850
2015-01-18,Soybean,Indore,4635,4.23,4600
2015-01-18,Mustard,Jaipur,5726,3.85,5650
2015-01-18,Cotton,Nagpur,7112,0.06,6620
2015-01-18,Sugarcane,Lucknow,3172,3.15,3150
2015-01-18,Tea,Guwahati,18123,0.98,0
2015-01-18,Coffee,Chikmagalur,13959,5.02,0
2015-01-19,Tomato,Delhi,2201,5.93,0
2015-01-19,Onion,Delhi,1880,5.03,0
2015-01-19,Potato,Delhi,1609,5.94,0
2015-01-19,Brinjal,Delhi,1856,2.69,0
2015-01-19,Cabbage,Delhi,1412,2.36,0
2015-01-19,Wheat,Delhi,2275,4.53,2275
2015-01-19,Rice,Lucknow,2857,2.6,2300
2015-01-19,Maize,Indore,2154,0.9,2090
2015-01-19,Bajra,Jaipur,2500,1.09,2500
2015-01-19,Jowar,Nagpur,3180,0.27,3180
2015-01-19,Tur Dal,Hyderabad,7000,1.4,7000
2015-01-19,Moong Dal,Bhopal,7801,2.94,7755
2015-01-19,Urad Dal,Kanpur,6950,3.52,6950
2015-01-19,Groundnut,Ahmedabad,6061,0.5,5850
2015-01-19,Soybean,Indore,4666,1.46,4600
2015-01-19,Mustard,Jaipur,5867,3.83,5650
2015-01-19,Cotton,Nagpur,7036,3.89,6620
2015-01-19,Sugarcane,Lucknow,3315,4.58,3150
2015-01-19,Tea,Guwahati,18131,0.35,0
2015-01-19,Coffee,Chikmagalur,14023,3.24,0
2015-01-20,Tomato,Delhi,2196,2.03,0
2015-01-20,Onion,Delhi,1970,2.9,0
2015-01-20,Potato,Delhi,1623,4.61,0
2015-01-20,Brinjal,Delhi,2072,3.03,0
2015-01-20,Cabbage,Delhi,1408,5.46,0
2015-01-20,Wheat,Delhi,2393,5.1,2275
2015-01-20,Rice,Lucknow,2891,2.04,2300
2015-01-20,Maize,Indore,2166,3.19,2090
2015-01-20,Bajra,Jaipur,2500,0.63,2500
2015-01-20,Jowar,Nagpur,3180,5.5,3180
2015-01-20,Tur Dal,Hyderabad,7034,3.78,7000
2015-01-20,Moong Dal,Bhopal,7770,2.03,7755
2015-01-20,Urad Dal,Kanpur,6950,1.15,6950
2015-01-20,Groundnut,Ahmedabad,5924,5.56,5850
2015-01-20,Soybean,Indore,4600,2.69,4600
2015-01-20,Mustard,Jaipur,5709,3.59,5650
2015-01-20,Cotton,Nagpur,7041,0.04,6620
2015-01-20,Sugarcane,Lucknow,3200,4.22,3150
2015-01-20,Tea,Guwahati,18131,3.8,0
2015-01-20,Coffee,Chikmagalur,14211,3.72,0
2015-01-21,Tomato,Delhi,2215,2.87,0
2015-01-21,Onion,Delhi,1948,5.42,0
2015-01-21,Potato,Delhi,1505,4.32,0
2015-01-21,Brinjal,Delhi,2108,4.69,0
2015-01-21,Cabbage,Delhi,1342,5.2,0
2015-01-21,Wheat,Delhi,2275,4.39,2275
2015-01-21,Rice,Lucknow,2914,2.64,2300
2015-01-21,Maize,Indore,2185,3.92,2090
2015-01-21,Bajra,Jaipur,2500,5.82,2500
2015-01-21,Jowar,Nagpur,3180,1.73,3180
2015-01-21,Tur Dal,Hyderabad,7211,4.4,7000
2015-01-21,Moong Dal,Bhopal,7944,2.08,7755
2015-01-21,Urad Dal,Kanpur,6950,0.74,6950
2015-01-21,Groundnut,Ahmedabad,5932,4.66,5850
2015-01-21,Soybean,Indore,4682,2.94,4600
2015-01-21,Mustard,Jaipur,5915,2.79,5650
2015-01-21,Cotton,Nagpur,6992,5.87,6620
2015-01-21,Sugarcane,Lucknow,3243,4.76,3150
2015-01-21,Tea,Guwahati,17986,0.51,0
2015-01-21,Coffee,Chikmagalur,14086,4.81,0
2015-01-22,Tomato,Delhi,2056,5.55,0
2015-01-22,Onion,Delhi,1969,0.22,0
2015-01-22,Potato,Delhi,1708,2.24,0
2015-01-22,Brinjal,Delhi,1837,0.66,0
2015-01-22,Cabbage,Delhi,1551,4.05,0
2015-01-22,Wheat,Delhi,2436,4.64,2275
2015-01-22,Rice,Lucknow,2944,5.19,2300
2015-01-22,Maize,Indore,2244,4.81,2090
2015-01-22,Bajra,Jaipur,2500,0.29,2500
2015-01-22,Jowar,Nagpur,3180,3.73,3180
2015-01-22,Tur Dal,Hyderabad,7056,5.15,7000
2015-01-22,Moong Dal,Bhopal,7755,3.09,7755
2015-01-22,Urad Dal,Kanpur,6950,4.06,6950
2015-01-22,Groundnut,Ahmedabad,5931,2.41,5850
2015-01-22,Soybean,Indore,4606,5.37,4600
2015-01-22,Mustard,Jaipur,5824,1.43,5650
2015-01-22,Cotton,Nagpur,7080,5.12,6620
2015-01-22,Sugarcane,Lucknow,3227,5.12,3150
2015-01-22,Tea,Guwahati,18135,1.79,0
2015-01-22,Coffee,Chikmagalur,14100,2.38,0
2015-01-23,Tomato,Delhi,2091,1.65,0
2015-01-23,Onion,Delhi,1992,1.13,0
2015-01-23,Potato,Delhi,1629,0.51,0
2015-01-23,Brinjal,Delhi,1929,4.31,0
2015-01-23,Cabbage,Delhi,1487,4.84,0
2015-01-23,Wheat,Delhi,2526,1.78,2275
2015-01-23,Rice,Lucknow,2887,2.45,2300
2015-01-23,Maize,Indore,2090,3.45,2090
2015-01-23,Bajra,Jaipur,2500,5.99,2500
2015-01-23,Jowar,Nagpur,3180,3.57,3180
2015-01-23,Tur Dal,Hyderabad,7075,2.35,7000
2015-01-23,Moong Dal,Bhopal,8001,2.98,7755
2015-01-23,Urad Dal,Kanpur,6950,0.81,6950
2015-01-23,Groundnut,Ahmedabad,6036,0.4,5850
2015-01-23,Soybean,Indore,4600,1.21,4600
2015-01-23,Mustard,Jaipur,5650,2.72,5650
2015-01-23,Cotton,Nagpur,7191,3.81,6620
2015-01-23,Sugarcane,Lucknow,3229,2.52,3150
2015-01-23,Tea,Guwahati,18215,5.76,0
2015-01-23,Coffee,Chikmagalur,14152,3.25,0
2015-01-24,Tomato,Delhi,2034,1.71,0
2015-01-24,Onion,Delhi,1999,1.41,0
2015-01-24,Potato,Delhi,1697,1.95,0
2015-01-24,Brinjal,Delhi,2102,3.18,0
2015-01-24,Cabbage,Delhi,1394,4.45,0
2015-01-24,Wheat,Delhi,2407,3.92,2275
2015-01-24,Rice,Lucknow,2986,1.8,2300
2015-01-24,Maize,Indore,2102,1.93,2090
2015-01-24,Bajra,Jaipur,2500,0.93,2500
2015-01-24,Jowar,Nagpur,3180,1.7,3180
2015-01-24,Tur Dal,Hyderabad,7005,3.37,7000
2015-01-24,Moong Dal,Bhopal,7967,4.7,7755
2015-01-24,Urad Dal,Kanpur,6988,2.63,6950
2015-01-24,Groundnut,Ahmedabad,6072,5.97,5850
2015-01-24,Soybean,Indore,4600,4.05,4600
2015-01-24,Mustard,Jaipur,5874,5.42,5650
2015-01-24,Cotton,Nagpur,7071,4.73,6620
2015-01-24,Sugarcane,Lucknow,3185,3.37,3150
2015-01-24,Tea,Guwahati,18058,0.61,0
2015-01-24,Coffee,Chikmagalur,14125,5.73,0
2015-01-25,Tomato,Delhi,2213,3.08,0
2015-01-25,Onion,Delhi,1862,0.22,0
2015-01-25,Potato,Delhi,1654,5.76,0
2015-01-25,Brinjal,Delhi,1863,0.25,0
2015-01-25,Cabbage,Delhi,1504,1.48,0
2015-01-25,Wheat,Delhi,2275,2.73,2275
2015-01-25,Rice,Lucknow,2970,3.1,2300
2015-01-25,Maize,Indore,2126,0.31,2090
2015-01-25,Bajra,Jaipur,2500,0.67,2500
2015-01-25,Jowar,Nagpur,3180,0.36,3180
2015-01-25,Tur Dal,Hyderabad,7067,4.19,7000
2015-01-25,Moong Dal,Bhopal,7795,1.81,7755
2015-01-25,Urad Dal,Kanpur,6950,2.36,6950
2015-01-25,Groundnut,Ahmedabad,6057,0.01,5850
2015-01-25,Soybean,Indore,4600,0.67,4600
2015-01-25,Mustard,Jaipur,5891,0.01,5650
2015-01-25,Cotton,Nagpur,7015,3.05,6620
2015-01-25,Sugarcane,Lucknow,3279,2.0,3150
2015-01-25,Tea,Guwahati,18098,2.59,0
2015-01-25,Coffee,Chikmagalur,14167,5.05,0
2015-01-26,Tomato,Delhi,2004,1.56,0
2015-01-26,Onion,Delhi,1832,1.45,0
2015-01-26,Potato,Delhi,1694,2.88,0
